,Region Keywords,Regions,Locations,locs
1404,Sa,Savannah,Kulmasa,"Kulmasa, Savannah"
1405,Sa,Savannah,Kulpi,"Kulpi, Savannah"
1406,UE,Upper East,Kultamse,"Kultamse, Upper East"
1407,UE,Upper East,Kulumasa,"Kulumasa, Upper East"
1408,NE,North East,Kulunga,"Kulunga, North East"
1409,UE,Upper East,Kulungungu,"Kulungungu, Upper East"
1410,UE,Upper East,Kulupielugu,"Kulupielugu, Upper East"
1411,As,Ashanti,KUMASI,"KUMASI, Ashanti"
1412,As,Ashanti,Kumawu,"Kumawu, Ashanti"
1413,No,Northern,Kumbungu,"Kumbungu, Northern"
1414,Ea,Eastern,Kumikrom,"Kumikrom, Eastern"
1415,Sa,Savannah,Kunfusi,"Kunfusi, Savannah"
1416,BE,Bono East,Kunsu,"Kunsu, Bono East"
1417,As,Ashanti,Kuntanase,"Kuntanase, Ashanti"
1418,Ce,Central,Kuntanase,"Kuntanase, Central"
1419,Ce,Central,Kuntu,"Kuntu, Central"
1420,BE,Bono East,Kuntunso,"Kuntunso, Bono East"
1421,GA,Greater Accra,Kunyenya,"Kunyenya, Greater Accra"
1422,UW,Upper West,Kunyukuo,"Kunyukuo, Upper West"
1423,UW,Upper West,Kunzokala,"Kunzokala, Upper West"
1424,No,Northern,Kupelugu,"Kupelugu, Northern"
1425,UW,Upper West,Kupulima,"Kupulima, Upper West"
1426,Ce,Central,Kurado,"Kurado, Central"
1427,UW,Upper West,Kuroboi,"Kuroboi, Upper West"
1428,UE,Upper East,Kusanaba,"Kusanaba, Upper East"
1429,Sa,Savannah,Kusawgu,"Kusawgu, Savannah"
1430,Bo,Bono,Kusiasi,"Kusiasi, Bono"
1431,Vo,Volta,Kutime,"Kutime, Volta"
1432,We,Western,Kutukrom,"Kutukrom, Western"
1433,GA,Greater Accra,Kutunse,"Kutunse, Greater Accra"
1434,Vo,Volta,Kuve,"Kuve, Volta"
1435,WN,Western North,Kwabenakrom,"Kwabenakrom, Western North"
1436,Ea,Eastern,Kwabeng,"Kwabeng, Eastern"
1437,We,Western,Kwabeng,"Kwabeng, Western"
1438,GA,Greater Accra,Kwabenya,"Kwabenya, Greater Accra"
1439,As,Ashanti,Kwadaso,"Kwadaso, Ashanti"
1440,Ot,Oti,Kwadjobri,"Kwadjobri, Oti"
1441,Ea,Eastern,Kwae,"Kwae, Eastern"
1442,BE,Bono East,Kwaehunu,"Kwaehunu, Bono East"
1443,Ea,Eastern,Kwaekese,"Kwaekese, Eastern"
1444,Ea,Eastern,Kwahu Jejeti,"Kwahu Jejeti, Eastern"
1445,Ea,Eastern,Kwahu Praso Nos.1&2,"Kwahu Praso Nos.1&2, Eastern"
1446,Ea,Eastern,Kwahu Tafo,"Kwahu Tafo, Eastern"
1447,Bo,Bono,Kwakuanya,"Kwakuanya, Bono"
1448,Ce,Central,Kwaman,"Kwaman, Central"
1449,We,Western,Kwamang,"Kwamang, Western"
1450,As,Ashanti,Kwamang (AK),"Kwamang (AK), Ashanti"
1451,As,Ashanti,Kwamang (Sekyere),"Kwamang (Sekyere), Ashanti"
1452,BE,Bono East,Kwame Danso,"Kwame Danso, Bono East"
1453,As,Ashanti,Kwame Dwuma Sreso,"Kwame Dwuma Sreso, Ashanti"
1454,Sa,Savannah,Kwame Kwasi,"Kwame Kwasi, Savannah"
1455,Bo,Bono,Kwameasua,"Kwameasua, Bono"
1456,WN,Western North,Kwamebikrom,"Kwamebikrom, Western North"
1457,Ot,Oti,Kwamekrom,"Kwamekrom, Oti"
1458,As,Ashanti,Kwamekyemkrom,"Kwamekyemkrom, Ashanti"
1459,We,Western,Kwameniampa,"Kwameniampa, Western"
1460,WN,Western North,Kwametawiakrom,"Kwametawiakrom, Western North"
1461,As,Ashanti,Kwamo,"Kwamo, Ashanti"
1462,Ea,Eastern,Kwamoso,"Kwamoso, Eastern"
1463,Ea,Eastern,Kwanta,"Kwanta, Eastern"
1464,Vo,Volta,Kwanta,"Kwanta, Volta"
1465,Ah,Ahafo,Kwapong,"Kwapong, Ahafo"
1466,UW,Upper West,Kwapun,"Kwapun, Upper West"
1467,WN,Western North,Kwasare,"Kwasare, Western North"
1468,GA,Greater Accra,Kwashieman,"Kwashieman, Greater Accra"
1469,Ea,Eastern,Kwasi Addae,"Kwasi Addae, Eastern"
1470,We,Western,Kwasikrom,"Kwasikrom, Western"
1471,WN,Western North,Kwasikrom,"Kwasikrom, Western North"
1472,WN,Western North,Kwawu,"Kwawu, Western North"
1473,Ce,Central,Kweikrom,"Kweikrom, Central"
1474,We,Western,Kwesimintsim,"Kwesimintsim, Western"
1475,As,Ashanti,Kyekyebon,"Kyekyebon, Ashanti"
1476,Ce,Central,Kyekyewere,"Kyekyewere, Central"
1477,We,Western,Kyekyewere,"Kyekyewere, Western"
1478,WN,Western North,Kyekyewere,"Kyekyewere, Western North"
1479,As,Ashanti,Kyekyewere (AK),"Kyekyewere (AK), Ashanti"
1480,As,Ashanti,Kyenkyenase,"Kyenkyenase, Ashanti"
1481,BE,Bono East,Kyeredeso,"Kyeredeso, Bono East"
1482,Bo,Bono,Kyeremasu,"Kyeremasu, Bono"
1483,As,Ashanti,Kyereyaaso,"Kyereyaaso, Ashanti"
1484,As,Ashanti,Kyeyiase,"Kyeyiase, Ashanti"
1485,Ce,Central,Kyinaso,"Kyinaso, Central"
1486,As,Ashanti,Kyiremfaso,"Kyiremfaso, Ashanti"
1487,Bo,Bono,Kyiribogya,"Kyiribogya, Bono"
1488,GA,Greater Accra,La Town,"La Town, Greater Accra"
1489,Ea,Eastern,Lakpa,"Lakpa, Eastern"
1490,No,Northern,Lamakara,"Lamakara, Northern"
1491,Sa,Savannah,Lambo,"Lambo, Savannah"
1492,UW,Upper West,Lambussie,"Lambussie, Upper West"
1493,NE,North East,Langbina,"Langbina, North East"
1494,NE,North East,Langbinsi,"Langbinsi, North East"
1495,GA,Greater Accra,Langma,"Langma, Greater Accra"
1496,Sa,Savannah,Larabanga,"Larabanga, Savannah"
1497,GA,Greater Accra,Lartebiokorshie,"Lartebiokorshie, Greater Accra"
1498,Ea,Eastern,Larteh,"Larteh, Eastern"
1499,Vo,Volta,Lave,"Lave, Volta"
1500,UW,Upper West,Lawra,"Lawra, Upper West"
1501,GA,Greater Accra,Legon,"Legon, Greater Accra"
1502,Vo,Volta,Leklebi Duga,"Leklebi Duga, Volta"
1503,GA,Greater Accra,Lekpongunor,"Lekpongunor, Greater Accra"
1504,Vo,Volta,Liati Wote,"Liati Wote, Volta"
1505,Ot,Oti,Likpe Bakwa,"Likpe Bakwa, Oti"
1506,Ot,Oti,Likpe Bala,"Likpe Bala, Oti"
1507,Ot,Oti,Likpe Koforidua,"Likpe Koforidua, Oti"
1508,Ot,Oti,Likpe Kukurantumi,"Likpe Kukurantumi, Oti"
1509,Ot,Oti,Likpe Mate,"Likpe Mate, Oti"
1510,Ot,Oti,Likpe Todome,"Likpe Todome, Oti"
1511,Sa,Savannah,Lingbinsi,"Lingbinsi, Savannah"
1512,Vo,Volta,Logba Alakpeti,"Logba Alakpeti, Volta"
1513,Vo,Volta,Logba Tota,"Logba Tota, Volta"
1514,Ot,Oti,Lolobi Hunyeasem,"Lolobi Hunyeasem, Oti"
1515,Ot,Oti,Lolobi Kumasi,"Lolobi Kumasi, Oti"
1516,UE,Upper East,Longsa (Sandema),"Longsa (Sandema), Upper East"
1517,GA,Greater Accra,Lorlorvor,"Lorlorvor, Greater Accra"
1518,Sa,Savannah,Lucene,"Lucene, Savannah"
1519,Vo,Volta,Lume Atsyame,"Lume Atsyame, Volta"
1520,GA,Greater Accra,Lupunya,"Lupunya, Greater Accra"
1521,Vo,Volta,Luta,"Luta, Volta"
1522,GA,Greater Accra,Maajor,"Maajor, Greater Accra"
1523,Ea,Eastern,Maame Dede,"Maame Dede, Eastern"
1524,As,Ashanti,Mabang,"Mabang, Ashanti"
1525,Ea,Eastern,Madam,"Madam, Eastern"
1526,GA,Greater Accra,Madina,"Madina, Greater Accra"
1527,Vo,Volta,Mafi Dugame,"Mafi Dugame, Volta"
1528,Vo,Volta,Mafi Kpedzeglo,"Mafi Kpedzeglo, Volta"
1529,GA,Greater Accra,Magbomada,"Magbomada, Greater Accra"
1530,No,Northern,Makayili,"Makayili, Northern"
1531,Bo,Bono,Mallamkrom,"Mallamkrom, Bono"
1532,Sa,Savannah,Maluwe,"Maluwe, Savannah"
1533,Ea,Eastern,Mamanso,"Mamanso, Eastern"
1534,Sa,Savannah,Mamayili,"Mamayili, Savannah"
1535,Sa,Savannah,Mamkuma,"Mamkuma, Savannah"
1536,GA,Greater Accra,Mamobi,"Mamobi, Greater Accra"
1537,GA,Greater Accra,Mampehia,"Mampehia, Greater Accra"
1538,As,Ashanti,Mampong,"Mampong, Ashanti"
1539,Ea,Eastern,Mampong,"Mampong, Eastern"
1540,We,Western,Mampong,"Mampong, Western"
1541,As,Ashanti,Mampong Akrofoso,"Mampong Akrofoso, Ashanti"
1542,Ea,Eastern,Mampong Nkwanta,"Mampong Nkwanta, Eastern"
1543,As,Ashanti,Mamponteng,"Mamponteng, Ashanti"
1544,GA,Greater Accra,Mamprobi,"Mamprobi, Greater Accra"
1545,Ce,Central,Mando,"Mando, Central"
1546,As,Ashanti,Manesuso,"Manesuso, Ashanti"
1547,As,Ashanti,Manfo (AA),"Manfo (AA), Ashanti"
1548,As,Ashanti,Manfo (Amansie),"Manfo (Amansie), Ashanti"
1549,Ea,Eastern,Mangoase,"Mangoase, Eastern"
1550,GA,Greater Accra,Mangotsonya,"Mangotsonya, Greater Accra"
1551,We,Western,Mangyea,"Mangyea, Western"
1552,GA,Greater Accra,Manhean,"Manhean, Greater Accra"
1553,As,Ashanti,Manhyia,"Manhyia, Ashanti"
1554,Sa,Savannah,Mankarigu,"Mankarigu, Savannah"
1555,Ce,Central,Mankessim,"Mankessim, Central"
1556,Ce,Central,Mankoadze,"Mankoadze, Central"
1557,As,Ashanti,Mankranso,"Mankranso, Ashanti"
1558,Ce,Central,Mankrong,"Mankrong, Central"
1559,Sa,Savannah,Mankuma,"Mankuma, Savannah"
1560,Ah,Ahafo,Mansin,"Mansin, Ahafo"
1561,BE,Bono East,Manso,"Manso, Bono East"
1562,Ea,Eastern,Manso,"Manso, Eastern"
1563,We,Western,Manso,"Manso, Western"
1564,As,Ashanti,Manso Adubia,"Manso Adubia, Ashanti"
1565,As,Ashanti,Manso Akropong,"Manso Akropong, Ashanti"
1566,We,Western,Manso Amenfi,"Manso Amenfi, Western"
1567,As,Ashanti,Manso Nkwanta,"Manso Nkwanta, Ashanti"
1568,GA,Greater Accra,Mantseman,"Mantseman, Greater Accra"
1569,Bo,Bono,Mantukwa,"Mantukwa, Bono"
1570,BE,Bono East,Mantukwa,"Mantukwa, Bono East"
1571,As,Ashanti,Manukrom,"Manukrom, Ashanti"
1572,GA,Greater Accra,Manya Jorpanya,"Manya Jorpanya, Greater Accra"
1573,Ea,Eastern,Manyakpongunor,"Manyakpongunor, Eastern"
1574,Sa,Savannah,Masaka,"Masaka, Savannah"
1575,GA,Greater Accra,Mataheko,"Mataheko, Greater Accra"
1576,Vo,Volta,Matse Tsife,"Matse Tsife, Volta"
1577,GA,Greater Accra,Matsekope,"Matsekope, Greater Accra"
1578,Bo,Bono,Mayera,"Mayera, Bono"
1579,GA,Greater Accra,Mayera,"Mayera, Greater Accra"
1580,No,Northern,Mbanayili,"Mbanayili, Northern"
1581,No,Northern,Mbatinga,"Mbatinga, Northern"
1582,We,Western,Mbeasi-Nsuta,"Mbeasi-Nsuta, Western"
1583,No,Northern,Mbosumbo,"Mbosumbo, Northern"
1584,GA,Greater Accra,Medie,"Medie, Greater Accra"
1585,Ah,Ahafo,Mehame,"Mehame, Ahafo"
1586,As,Ashanti,Mem,"Mem, Ashanti"
1587,Ea,Eastern,Mem Chemfre,"Mem Chemfre, Eastern"
1588,Bo,Bono,Mempeasem,"Mempeasem, Bono"
1589,Sa,Savannah,Mempeasem,"Mempeasem, Savannah"
1590,Bo,Bono,Menji,"Menji, Bono"
1591,Ce,Central,Mensakrom,"Mensakrom, Central"
1592,As,Ashanti,Mensonso,"Mensonso, Ashanti"
1593,Ot,Oti,Menuso,"Menuso, Oti"
1594,Ea,Eastern,Mepom,"Mepom, Eastern"
1595,Ce,Central,Meretweso,"Meretweso, Central"
1596,Ce,Central,Mesomagor,"Mesomagor, Central"
1597,WN,Western North,Mesrenyame,"Mesrenyame, Western North"
1598,Vo,Volta,Metsrikasa,"Metsrikasa, Volta"
1599,UW,Upper West,Mettoh,"Mettoh, Upper West"
1600,As,Ashanti,Meyenwaikosimeyie,"Meyenwaikosimeyie, Ashanti"
1601,BE,Bono East,Mframa,"Mframa, Bono East"
1602,Ce,Central,Mfuom,"Mfuom, Central"
1603,BE,Bono East,Miawani,"Miawani, Bono East"
1604,We,Western,Miegyinla,"Miegyinla, Western"
1605,We,Western,Miemia,"Miemia, Western"
1606,As,Ashanti,Mile 14,"Mile 14, Ashanti"
1607,As,Ashanti,Mile 9,"Mile 9, Ashanti"
1608,Ah,Ahafo,Mim,"Mim, Ahafo"
1609,As,Ashanti,Miminaso Nos.1&2,"Miminaso Nos.1&2, Ashanti"
1610,Sa,Savannah,Mines,"Mines, Savannah"
1611,GA,Greater Accra,Minya,"Minya, Greater Accra"
1612,GA,Greater Accra,Miotso,"Miotso, Greater Accra"
1613,UE,Upper East,Missiga,"Missiga, Upper East"
1614,GA,Greater Accra,Mlitsakpo,"Mlitsakpo, Greater Accra"
1615,BE,Bono East,Mmaampehia,"Mmaampehia, Bono East"
1616,Ea,Eastern,Mmetiamu,"Mmetiamu, Eastern"
1617,Ea,Eastern,Mofram,"Mofram, Eastern"
1618,Sa,Savannah,Mognori,"Mognori, Savannah"
1619,UE,Upper East,Mognori,"Mognori, Upper East"
1620,UW,Upper West,Monojan,"Monojan, Upper West"
1621,Ea,Eastern,Monsie,"Monsie, Eastern"
1622,Ea,Eastern,Mopti,"Mopti, Eastern"
1623,As,Ashanti,Moseaso,"Moseaso, Ashanti"
1624,Ce,Central,Moseaso,"Moseaso, Central"
1625,We,Western,Moseaso,"Moseaso, Western"
1626,Ot,Oti,Motoka,"Motoka, Oti"
1627,UW,Upper West,Moyiri,"Moyiri, Upper West"
1628,NE,North East,Mozio,"Mozio, North East"
1629,Ah,Ahafo,Mpamase,"Mpamase, Ahafo"
1630,As,Ashanti,Mpantuase,"Mpantuase, Ashanti"
1631,We,Western,Mpasem,"Mpasem, Western"
1632,We,Western,Mpataba,"Mpataba, Western"
1633,Ce,Central,Mpeasem,"Mpeasem, Central"
1634,We,Western,Mpeasem,"Mpeasem, Western"
1635,GA,Greater Accra,Mpehuasem,"Mpehuasem, Greater Accra"
1636,We,Western,Mpohor,"Mpohor, Western"
1637,Ea,Eastern,Mpraeso,"Mpraeso, Eastern"
1638,Ce,Central,Mprumem,"Mprumem, Central"
1639,Bo,Bono,Mpuasu,"Mpuasu, Bono"
1640,Ce,Central,Mumford,"Mumford, Central"
1641,Ce,Central,Munianu,"Munianu, Central"
1642,As,Ashanti,Naama,"Naama, Ashanti"
1643,No,Northern,Naboal,"Naboal, Northern"
1644,No,Northern,Nabogu,"Nabogu, Northern"
1645,UW,Upper West,Nabugang,"Nabugang, Upper West"
1646,UW,Upper West,Nabugubelle,"Nabugubelle, Upper West"
1647,NE,North East,Nabukpeni,"Nabukpeni, North East"
1648,No,Northern,Nabuli,"Nabuli, Northern"
1649,No,Northern,Nabulugu,"Nabulugu, Northern"
1650,UW,Upper West,Nadowli,"Nadowli, Upper West"
1651,UE,Upper East,Nafkoliga,"Nafkoliga, Upper East"
1652,NE,North East,Nagboo,"Nagboo, North East"
1653,No,Northern,Nahuyili,"Nahuyili, Northern"
1654,NE,North East,Nakpanduri,"Nakpanduri, North East"
1655,NE,North East,Nakpanzong,"Nakpanzong, North East"
1656,No,Northern,Nakpayili,"Nakpayili, Northern"
1657,No,Northern,Nakundugu,"Nakundugu, Northern"
1658,NE,North East,Nakurugu,"Nakurugu, North East"
1659,Sa,Savannah,Nakwabi,"Nakwabi, Savannah"
1660,NE,North East,NALERIGU,"NALERIGU, North East"
1661,Sa,Savannah,Nalori,"Nalori, Savannah"
1662,NE,North East,Namaasim,"Namaasim, North East"
1663,Bo,Bono,Namasa,"Namasa, Bono"
1664,NE,North East,Namiyili,"Namiyili, North East"
1665,UE,Upper East,Nanchieyir,"Nanchieyir, Upper East"
1666,UW,Upper West,Nandom,"Nandom, Upper West"
1667,UW,Upper West,Nandomle,"Nandomle, Upper West"
1668,UE,Upper East,Nangalkinia,"Nangalkinia, Upper East"
1669,UE,Upper East,Nangodi,"Nangodi, Upper East"
1670,NE,North East,Nangruma,"Nangruma, North East"
1671,BE,Bono East,Nante,"Nante, Bono East"
1672,No,Northern,Nanton,"Nanton, Northern"
1673,No,Northern,Nanton Kurugu,"Nanton Kurugu, Northern"
1674,NE,North East,Nanyeeri,"Nanyeeri, North East"
1675,Ce,Central,Narkwa,"Narkwa, Central"
1676,NE,North East,Nasia,"Nasia, North East"
1677,NE,North East,Nasuan,"Nasuan, North East"
1678,UE,Upper East,Natinga,"Natinga, Upper East"
1679,UE,Upper East,Navrongo,"Navrongo, Upper East"
1680,UE,Upper East,Nawognia,"Nawognia, Upper East"
1681,UE,Upper East,Nayagnia,"Nayagnia, Upper East"
1682,NE,North East,Nayeri,"Nayeri, North East"
1683,No,Northern,Nayiri,"Nayiri, Northern"
1684,We,Western,Nduam,"Nduam, Western"
1685,Ea,Eastern,New Abirem,"New Abirem, Eastern"
1686,Ea,Eastern,New Adjena,"New Adjena, Eastern"
1687,As,Ashanti,New Akrofuom,"New Akrofuom, Ashanti"
1688,As,Ashanti,New Ayaase,"New Ayaase, Ashanti"
1689,Ot,Oti,New Ayoma,"New Ayoma, Oti"
1690,Bo,Bono,New Drobo,"New Drobo, Bono"
1691,As,Ashanti,New Edubiase,"New Edubiase, Ashanti"
1692,As,Ashanti,New Koforidua,"New Koforidua, Ashanti"
1693,BE,Bono East,New Longoro,"New Longoro, Bono East"
1694,GA,Greater Accra,New Ningo,"New Ningo, Greater Accra"
1695,Ot,Oti,New Otiso,"New Otiso, Oti"
1696,Ea,Eastern,New Oworobong,"New Oworobong, Eastern"
1697,Ea,Eastern,New Somanya,"New Somanya, Eastern"
1698,We,Western,New Subri,"New Subri, Western"
1699,Ea,Eastern,New Tafo,"New Tafo, Eastern"
1700,We,Western,Newtown,"Newtown, Western"
1701,We,Western,Ngalekpole,"Ngalekpole, Western"
1702,We,Western,Ngalekyi,"Ngalekyi, Western"
1703,Ot,Oti,Ngbanye,"Ngbanye, Oti"
1704,We,Western,Ngelekazo,"Ngelekazo, Western"
1705,GA,Greater Accra,Ngleshie Amanfro,"Ngleshie Amanfro, Greater Accra"
1706,We,Western,Ngyiresia,"Ngyiresia, Western"
1707,GA,Greater Accra,Nima,"Nima, Greater Accra"
1708,Ce,Central,Ninety,"Ninety, Central"
1709,Sa,Savannah,Ningboyili,"Ningboyili, Savannah"
1710,Ea,Eastern,Nkami,"Nkami, Eastern"
1711,WN,Western North,Nkatieso,"Nkatieso, Western North"
1712,As,Ashanti,Nkawie,"Nkawie, Ashanti"
1713,As,Ashanti,Nkawie Kuma,"Nkawie Kuma, Ashanti"
1714,As,Ashanti,Nkawie Panin,"Nkawie Panin, Ashanti"
1715,Ea,Eastern,Nkawkaw,"Nkawkaw, Eastern"
1716,As,Ashanti,Nkenkaasu,"Nkenkaasu, Ashanti"
1717,We,Western,Nkontompo,"Nkontompo, Western"
1718,Ot,Oti,Nkonya Ahenkro,"Nkonya Ahenkro, Oti"
1719,Ot,Oti,Nkonya Wurupong,"Nkonya Wurupong, Oti"
1720,Bo,Bono,Nkoran Kwagya,"Nkoran Kwagya, Bono"
1721,BE,Bono East,Nkoranza,"Nkoranza, Bono East"
1722,We,Western,Nkrang,"Nkrang, Western"
1723,BE,Bono East,Nkrankrom,"Nkrankrom, Bono East"
1724,Bo,Bono,Nkrankwanta,"Nkrankwanta, Bono"
1725,We,Western,Nkroful,"Nkroful, Western"
1726,Ea,Eastern,Nkronso,"Nkronso, Eastern"
1727,Ce,Central,Nkronua Anafo,"Nkronua Anafo, Central"
1728,WN,Western North,Nkronua Atifi,"Nkronua Atifi, Western North"
1729,Ce,Central,Nkum,"Nkum, Central"
1730,Ea,Eastern,Nkurakan,"Nkurakan, Eastern"
1731,BE,Bono East,Nkwabeng,"Nkwabeng, Bono East"
1732,As,Ashanti,Nkwanta,"Nkwanta, Ashanti"
1733,Ot,Oti,Nkwanta,"Nkwanta, Oti"
1734,We,Western,Nkwanta (TN),"Nkwanta (TN), Western"
1735,We,Western,Nkwanta (WAC),"Nkwanta (WAC), Western"
1736,We,Western,Nkwanta (WAW),"Nkwanta (WAW), Western"
1737,As,Ashanti,Nkwantakese,"Nkwantakese, Ashanti"
1738,Ea,Eastern,Nkwantanan,"Nkwantanan, Eastern"
1739,Ea,Eastern,Nkwantanang,"Nkwantanang, Eastern"
1740,GA,Greater Accra,Nkwantanang,"Nkwantanang, Greater Accra"
1741,Ea,Eastern,Nkwarteng,"Nkwarteng, Eastern"
1742,As,Ashanti,Nkwatem,"Nkwatem, Ashanti"
1743,Ea,Eastern,Nkwatia,"Nkwatia, Eastern"
1744,Ea,Eastern,Nkyenenkyene,"Nkyenenkyene, Eastern"
1745,Vo,Volta,Nogokpo,"Nogokpo, Volta"
1746,UE,Upper East,Nogsenia,"Nogsenia, Upper East"
1747,NE,North East,Noyaloabi,"Noyaloabi, North East"
1748,Ce,Central,Nsaba,"Nsaba, Central"
1749,GA,Greater Accra,Nsakina,"Nsakina, Greater Accra"
1750,Ea,Eastern,Nsawam,"Nsawam, Eastern"
1751,Bo,Bono,Nsawkaw,"Nsawkaw, Bono"
1752,Ea,Eastern,Nsempoamiensa Halt,"Nsempoamiensa Halt, Eastern"
1753,As,Ashanti,Nsiakrom,"Nsiakrom, Ashanti"
1754,Bo,Bono,Nsoatre,"Nsoatre, Bono"
1755,As,Ashanti,Nsonyameye,"Nsonyameye, Ashanti"
1756,WN,Western North,Nsonyameye,"Nsonyameye, Western North"
1757,We,Western,Nsuaem,"Nsuaem, Western"
1758,We,Western,Nsuaem (Nzema),"Nsuaem (Nzema), Western"
1759,We,Western,Nsuaem No.1,"Nsuaem No.1, Western"
1760,As,Ashanti,Nsuaem Nos.1&2,"Nsuaem Nos.1&2, Ashanti"
1761,Ce,Central,Nsuaem-Kyekyewere,"Nsuaem-Kyekyewere, Central"
1762,Ce,Central,Nsuekyir,"Nsuekyir, Central"
1763,Bo,Bono,Nsuoano,"Nsuoano, Bono"
1764,GA,Greater Accra,Nsuobri,"Nsuobri, Greater Accra"
1765,Ot,Oti,Nsuogya,"Nsuogya, Oti"
1766,As,Ashanti,Nsuontam,"Nsuontam, Ashanti"
1767,As,Ashanti,Nsuta,"Nsuta, Ashanti"
1768,BE,Bono East,Nsuta,"Nsuta, Bono East"
1769,Ot,Oti,Nsuta,"Nsuta, Oti"
1770,As,Ashanti,Nsuta (AA),"Nsuta (AA), Ashanti"
1771,We,Western,Nsuta (Tarkwa),"Nsuta (Tarkwa), Western"
1772,As,Ashanti,Nsutam,"Nsutam, Ashanti"
1773,Ea,Eastern,Nsutam,"Nsutam, Eastern"
1774,Ce,Central,Ntafrewaso,"Ntafrewaso, Central"
1775,Sa,Savannah,Ntereso,"Ntereso, Savannah"
1776,Sa,Savannah,Ntereso,"Ntereso, Savannah"
1777,Ea,Eastern,Nteso,"Nteso, Eastern"
1778,Ea,Eastern,Ntoaso,"Ntoaso, Eastern"
1779,BE,Bono East,Ntonaboma,"Ntonaboma, Bono East"
1780,As,Ashanti,Ntonso,"Ntonso, Ashanti"
1781,Ah,Ahafo,Ntotroso,"Ntotroso, Ahafo"
1782,Ce,Central,Nuamakrom,"Nuamakrom, Central"
1783,UE,Upper East,Nung,"Nung, Upper East"
1784,GA,Greater Accra,Nungua,"Nungua, Greater Accra"
1785,As,Ashanti,Nwineso No.1,"Nwineso No.1, Ashanti"
1786,Ea,Eastern,Nwinso,"Nwinso, Eastern"
1787,Ea,Eastern,Nyafomang,"Nyafomang, Eastern"
1788,Vo,Volta,Nyagbo Agodome,"Nyagbo Agodome, Volta"
1789,Vo,Volta,Nyagbo Anyigbe,"Nyagbo Anyigbe, Volta"
1790,Vo,Volta,Nyagbo Fiafe,"Nyagbo Fiafe, Volta"
1791,Vo,Volta,Nyagbo Gagbefe,"Nyagbo Gagbefe, Volta"
1792,Vo,Volta,Nyagbo Konda,"Nyagbo Konda, Volta"
1793,Vo,Volta,Nyagbo Odumase,"Nyagbo Odumase, Volta"
1794,Ce,Central,Nyakrom,"Nyakrom, Central"
1795,Ot,Oti,Nyambong,"Nyambong, Oti"
1796,Ea,Eastern,Nyame Nti,"Nyame Nti, Eastern"
1797,Ce,Central,Nyame ye Adom,"Nyame ye Adom, Central"
1798,As,Ashanti,Nyameadom,"Nyameadom, Ashanti"
1799,As,Ashanti,Nyameani,"Nyameani, Ashanti"
1800,As,Ashanti,Nyamebekyere,"Nyamebekyere, Ashanti"
1801,Ea,Eastern,Nyamebekyere,"Nyamebekyere, Eastern"
1802,Ce,Central,Nyamedom,"Nyamedom, Central"
1803,Bo,Bono,Nyamefie,"Nyamefie, Bono"
1804,WN,Western North,Nyamennae,"Nyamennae, Western North"
1805,We,Western,Nyametease,"Nyametease, Western"
1806,Ea,Eastern,Nyanawase,"Nyanawase, Eastern"
1807,Ea,Eastern,Nyankomase,"Nyankomase, Eastern"
1808,We,Western,Nyankumase,"Nyankumase, Western"
1809,Ce,Central,Nyankumasi Ahenkro,"Nyankumasi Ahenkro, Central"
1810,As,Ashanti,Nyankyerenease,"Nyankyerenease, Ashanti"
1811,We,Western,Nyanso,"Nyanso, Western"
1812,Ce,Central,Nyanyano,"Nyanyano, Central"
1813,GA,Greater Accra,Nyapienya,"Nyapienya, Greater Accra"
1814,GA,Greater Accra,Nyigbenya,"Nyigbenya, Greater Accra"
1815,As,Ashanti,Nyinahin,"Nyinahin, Ashanti"
1816,Ce,Central,Nyinase,"Nyinase, Central"
1817,Vo,Volta,Nyive,"Nyive, Volta"
1818,UW,Upper West,Nyivil,"Nyivil, Upper West"
1819,BE,Bono East,Nyomoase,"Nyomoase, Bono East"
1820,We,Western,Nzematianu,"Nzematianu, Western"
1821,We,Western,Nzulezo,"Nzulezo, Western"
1822,NE,North East,Obaalaanu,"Obaalaanu, North East"
1823,GA,Greater Accra,Obakrowa,"Obakrowa, Greater Accra"
1824,Ea,Eastern,Obeng Yaw,"Obeng Yaw, Eastern"
1825,GA,Greater Accra,Obeyeyie,"Obeyeyie, Greater Accra"
1826,Ce,Central,Obidan,"Obidan, Central"
1827,We,Western,Obinyimkyena,"Obinyimkyena, Western"
1828,As,Ashanti,Obo,"Obo, Ashanti"
1829,Ea,Eastern,Obo,"Obo, Eastern"
1830,Ea,Eastern,Obodan,"Obodan, Eastern"
1831,As,Ashanti,Obogu,"Obogu, Ashanti"
1832,Ce,Central,Obokor,"Obokor, Central"
1833,Ea,Eastern,Obomeng,"Obomeng, Eastern"
1834,Ea,Eastern,Obooho,"Obooho, Eastern"
1835,Ea,Eastern,Obosomase,"Obosomase, Eastern"
1836,Ce,Central,Oboyambo,"Oboyambo, Central"
1837,As,Ashanti,Obuasi,"Obuasi, Ashanti"
1838,Ea,Eastern,Obuotumpan,"Obuotumpan, Eastern"
1839,Ce,Central,Obutu,"Obutu, Central"
1840,GA,Greater Accra,Ocanseykope,"Ocanseykope, Greater Accra"
1841,Ce,Central,Ochiso,"Ochiso, Central"
1842,Ea,Eastern,Oda Nkwanta,"Oda Nkwanta, Eastern"
